English,Español
the,el
be,ser
and,y
a,a
of,de
to,a
in,en
i,i
you,tú
it,él
have,tener
to,a
that,eso
for,para
do,hacer
he,él
with,con
on,en
this,este
n't,Nuevo Testamento
we,nosotros
that,eso
not,no
but,pero
they,ellos
say,decir
at,en
what,qué
his,su
from,de
go,ir
or,o
by,por
get,conseguir
she,ella
my,mi
can,poder
as,como
know,saber
if,si
me,a mí
your,su
all,todo
who,OMS
about,acerca de
their,su
will,voluntad
so,entonces
would,haría
make,hacer
just,justo
up,arriba
think,pensar
time,tiempo
there,allá
see,ver
her,su
as,como
out,afuera
one,uno
come,venir
people,gente
take,llevar
year,año
him,a él
them,a ellos
some,alguno
want,desear
how,cómo
when,cuando
which,cual
now,ahora
like,como
other,otro
could,podría
our,nuestro
into,en
here,aquí
then,entonces
than,que
look,mirar
way,forma
more,más
these,estos
no,No
thing,cosa
well,Bueno
because,porque
also,también
two,dos
use,usar
tell,decir
good,bien
first,primero
man,hombre
day,día
find,encontrar
give,dar
more,más
new,nuevo
one,uno
us,a nosotros
any,cualquier
those,aquellos
very,muy
her,su
need,necesidad
back,atrás
there,allá
should,debería
even,incluso
only,solo
many,muchos
really,en realidad
work,trabajar
life,vida
why,por qué
right,bien
down,abajo
on,en
try,intentar
let,dejar
something,algo
too,también
call,llamar
woman,mujer
may,puede
still,aún
through,a través de
mean,significar
after,después
never,nunca
no,No
world,mundo
in,en
feel,sentir
yeah,sí
great,excelente
last,último
child,niño
oh,Vaya
over,encima
ask,preguntar
when,cuando
as,como
school,escuela
state,estado
much,mucho
talk,hablar
out,afuera
keep,mantener
leave,dejar
put,poner
like,como
help,ayuda
big,grande
where,dónde
same,mismo
all,todo
own,propio
while,mientras
start,comenzar
three,tres
high,alto
every,cada
another,otro
become,convertirse
most,mayoría
between,entre
happen,suceder
family,familia
over,encima
president,presidente
old,viejo
yes,Sí
house,casa
show,espectáculo
again,de nuevo
student,alumno
so,entonces
seem,parecer
might,podría
part,parte
hear,escuchar
its,es
place,lugar
problem,problema
where,dónde
believe,creer
country,país
always,siempre
week,semana
point,punto
hand,mano
off,apagado
play,jugar
turn,doblar
few,pocos
group,grupo
such,semejante
against,contra
run,correr
guy,chico
about,acerca de
case,caso
question,pregunta
work,trabajar
night,noche
live,vivir
game,juego
number,número
write,escribir
bring,traer
without,sin
money,dinero
lot,lote
most,mayoría
book,libro
system,sistema
government,gobierno
next,próximo
city,ciudad
company,compañía
story,historia
today,hoy
job,trabajo
move,mover
must,debe
bad,malo
friend,amigo
during,durante
begin,comenzar
love,amar
each,cada
hold,sostener
different,diferente
american,americano
little,pequeño
before,antes
ever,alguna vez
word,palabra
fact,hecho
right,bien
read,leer
anything,cualquier cosa
nothing,nada
sure,seguro
small,pequeño
month,mes
program,programa
maybe,tal vez
right,bien
under,bajo
business,negocio
home,hogar
kind,amable
stop,detener
pay,pagar
study,estudiar
since,desde
issue,asunto
name,nombre
idea,idea
room,habitación
percent,por ciento
far,lejos
away,lejos
law,ley
actually,de hecho
large,grande
though,aunque
provide,proporcionar
lose,perder
power,fuerza
kid,niño
war,guerra
understand,entender
head,cabeza
mother,madre
real,real
best,mejor
team,equipo
eye,ojo
long,largo
long,largo
side,lado
water,agua
young,joven
wait,esperar
okay,bueno
both,ambos
yet,todavía
after,después
meet,encontrarse
service,servicio
area,área
important,importante
person,persona
hey,ey
thank,agradecer
much,mucho
someone,alguien
end,fin
change,cambiar
however,sin embargo
only,solo
around,alrededor
hour,hora
everything,todo
national,nacional
four,cuatro
line,línea
girl,chica
around,alrededor
watch,mirar
until,hasta
father,padre
sit,sentarse
create,crear
information,información
car,auto
learn,aprender
least,el menos
already,ya
kill,matar
minute,minuto
party,fiesta
include,incluir
stand,pararse
together,juntos
back,atrás
follow,seguir
health,salud
remember,recordar
often,a menudo
reason,razón
speak,hablar
ago,atrás
set,colocar
black,negro
member,miembro
community,comunidad
once,una vez
social,social
news,noticias
allow,permitir
win,ganar
body,cuerpo
lead,dirigir
continue,continuar
whether,si
enough,suficiente
spend,gastar
level,nivel
able,capaz
political,político
